Startup,Company,Category,Investment,Investors,Date,URL,Name,Description,Address,Industries,Technologies,Other fields,Funding stage,Founded,Employees,Business model,Target,Spinoff participants,capital_prev,investors
RIMBARLAT,RIMBARLAT S.L.,HealthtechSports,,Barça Innovation Hub,October 2024,startup/barcelona/rimbarlat/5928,RIMBARLAT S.L.,Regenerative medicine for sports muscle injuries,"Avinguda De La Riera De Cassoles, 43 4 08012 Barcelona","Sports, 
		                		
		                			Healthtech","Personalized medicine, 
		                		
		                			Additive manufacturing, 
		                		
		                			Biotechnology",-,Seed (0.25 M EUR - < 1 M EUR),2020,Undisclosed,Others,Business,Technological Centre (BIOCAT),0.6M € (OCTOBER 2022),Capital Cell
EQUITO,EQUITO APP S.L,FinancingProptech,0.3M €,Lanzadera,June 2024,startup/barcelona/equito/5843,EQUITO APP S.L,A real estate investment platform enabling users to invest in fractional properties starting from €100. The platform facilitates seamless investment management and offers passive monthly income through property tokenization and fractional ownership.,Paseig De Gracia 19 08007 Barcelona,"Proptech, 
		                		
		                			Financing","Fintech & Insurtech, 
		                		
		                			DLT/Blockchain",Social Economy,Seed (0.25 M EUR - < 1 M EUR),2021,From 11 to 20,Marketplace,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Lanzadera
VORA,VORA,Fashion & Design,0.3M €,Casilda Güell i Javier Sobrino,June 2024,startup/barcelona/vora/6706,VORA,"Vora is inspired by the city of Barcelona, promoting serenity through unique sensory experiences.","Calle Cavallers, 54 P. 4 Pta. 1 08034 Barcelona",Fashion & Design,E-commerce,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2022,Undisclosed,-,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Casilda Güell i Javier Sobrino
LEXDOKA,SEEDFY ECOSYSTEM S.L.,Business Services & SoftwareLegaltech,0.3M €,Codols Finances,May 2024,startup/barcelona/lexdoka/6563,SEEDFY ECOSYSTEM S.L.,"LexDoka is a collaborative platform that turns the creation, review, negotiation, signing, and management of contracts into an easy, agile, and efficient task for any company or individual, with or without legal knowledge.","Calle Pallars, 108 08018 Barcelona","Business Services & Software, 
		                		
		                			Legaltech","Fintech & Insurtech, 
		                		
		                			Digital Assets",Industry 4.0,Seed (0.25 M EUR - < 1 M EUR),2021,Undisclosed,Saas,Business,None / Not a spinoff,0.3M € (MAY 2024),Codols Finances
KOKUAI,KOKUAI S.L.,HealthtechBusiness Services & Software,0.3M €,"Elisabeth Martinez, Oriol Vila, Blast",September 2024,startup/barcelona/kokuai/5838,KOKUAI S.L.,"Kokuai is a Barcelona based start-up founded in 2020  aiming to improve the efficiency of healthcare providers processes, enabling them to deliver a better service experience to their patients. By using our  AI conversational platform, healthcare facilities can connect and engage with patients on WhatsAp, optimizing their scheduling process for maximum conversion and reducing cancellations and no-shows.","Carrer Llacuna, 162 08018 Barcelona","Healthtech, 
		                		
		                			Business Services & Software","AI & Big Data, 
		                		
		                			Connectivity, 
		                		
		                			Automation",-,Seed (0.25 M EUR - < 1 M EUR),2020,From 1 to 5,Saas,Business,None / Not a spinoff,0.3M € (SEPTEMBER 2024),"Elisabeth Martinez, Oriol Vila, Blast"
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.1M € (NOVEMBER 2024),N/A
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.3M € (JULY 2024),ONA Capital
YOUZTALENT,YOUZTALENT,Community & Social network,0.2M €,Fundació Telefónica,June 2024,startup/barcelona/youztalent/6711,YOUZTALENT,We empower Generation Z and help companies create an inclusive organizational culture that attracts young talent.,"Calle Pallars, 73 08018 Barcelona",Community & Social network,Digital Assets,Social Economy,Pre-seed (< 0.25 M EUR),2019,Undisclosed,-,Business,None / Not a spinoff,0.2M € (JUNE 2024),Fundació Telefónica
DIPNEO,DIPNEO S.L,Healthtech,0.2M €,Capital Cell,August 2024,startup/barcelona/dipneo/7143,DIPNEO S.L,"Dipneo is developing a medical device for auxiliary resuscitation in patients with cardiorespiratory arrest, based on a patented technology from Eurecat.","Plaza Pau Vila (Ed. Palau De Mar), 1 P. 2, Sector 2 C 08039 Barcelona",Healthtech,Medical devices,-,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (AUGUST 2024),Capital Cell
TIRECATHEALTH,TIRECAT HEALTH SL,Healthtech,0.2M €,Grow Venture Partners,January 2025,startup/barcelona/tirecathealth/7127,TIRECAT HEALTH SL,"We develop and manufacture a novel family of polymers with great properties for different fields of medicine from tissue regeneration to oncology we are able to tackle a wide spread of medical needs.
PyroH our first clinical candidate is a polymer that adheres to wet tissues acting as an implant that speeds up regeneration times up to 41% and is able to completely guarantee infection prevention. This properties position it as a unique value proposition in the realm of skin regeneration.",Rbla Catalunya Num 78 Planta 3 Puerta 1B 08008 B 08008 Barcelona,Healthtech,"Medical devices, 
		                		
		                			Biotechnology, 
		                		
		                			NBS (Nature Based Solutions)",Deeptech,Seed (0.25 M EUR - < 1 M EUR),2024,From 1 to 5,Development & Manufacturing,Business,"CERCA Centre (CERCA Centre); 
CSIC Centre (CSIC Centre)",0.2M € (JANUARY 2025),Grow Venture Partners
CRIBDATA,"CRIBDATA, S.L.",Business Services & SoftwareFinancing,0.2M €,BcombinatorFI Group,October 2024,startup/barcelona/cribdata/7058,"CRIBDATA, S.L.","Cribdata is transforming personal data processing, offering enhanced security and efficiency for handling sensitive information.","Calle Via Augusta, 35 P. 6 08006 Barcelona","Business Services & Software, 
		                		
		                			Financing",AI & Big Data,Social Economy,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (OCTOBER 2024),BcombinatorFI Group
BALANCE PHONE,THE BALANCE PHONE SL,Business Services & SoftwareICT & Mobile,0.1M €,"tres efes' (familiars, amics i entusiastes)",April 2024,startup/barcelona/balance-phone/6585,THE BALANCE PHONE SL,"We offer an addiction-free phone.  The Balance Phone offers the connectivity needed to live nowadays without any addictive and distracting apps and websites.  Our product gives access to tools and services such as Messaging, Music, Digital banking, Mobility and Health while blocking all Social media, Streaming services, Games, News, Betting apps and Pornography websites.",Via Augusta 195 Barcelona Catalonia 08021 Barcelona,"Business Services & Software, 
		                		
		                			ICT & Mobile","Connectivity, 
		                		
		                			E-commerce",Social Economy,Pre-seed (< 0.25 M EUR),2023,From 1 to 5,"Ecommerce & Trade, 
Subscription","Business, 
Consumer",None / Not a spinoff,0.1M € (APRIL 2024),"tres efes' (familiars, amics i entusiastes)"
TRITORDEUM,VIVAGRAN,AgricultureFood,0.1M €,Estats Units,May 2024,startup/barcelona/tritordeum/6625,VIVAGRAN,Vivagran is a consumer-driven cereal-based biotechnology company focused on developing and commercializing high-value branded cereals.  We do breeding produce seed/grains and grant licenses for the commercial exploitation of our proprietary crops.,C/ Calabria 35 Sobreático  2 08015 Barcelona,"Food, 
		                		
		                			Agriculture",Biotechnology,-,Pre-seed (< 0.25 M EUR),2021,From 1 to 5,R+D+I Services,Business,None / Not a spinoff,0.1M € (MAY 2024),Estats Units
FLAMAID,FLAMAID S.L.,Hardware,0.1M €,N/A,November 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.1M € (NOVEMBER 2024),N/A
FLAMAID,FLAMAID S.L.,Hardware,0.1M €,N/A,November 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.3M € (JULY 2024),ONA Capital
TALKUAL,IMPERFECTUS BOX S.L,E-commerce & MarketplacesFood,0.1M €,Business Angels,June 2024,startup/lleida/talkual/5126,IMPERFECTUS BOX S.L,Talkual is a delivery service for imperfect seasonal fruit and vegetable boxes. The mission is building a better food system and fighting food waste. Talkual collects imperfect productspaying a fair price to the farmers and selling to costumers at affordable prices.,"Avinguda Lleida, 32  25250,0 Bellpuig","E-commerce & Marketplaces, 
		                		
		                			Food","E-commerce, 
		                		
		                			Agritech",Circular Economy,Pre-seed (< 0.25 M EUR),2019,From 21 to 50,"Ecommerce & Trade, 
Marketplace, 
Saas, 
Software licence, 
Subscription","Business, 
Consumer",Company /Other Centre,0.1M € (JUNE 2024),Business Angels
COCOPOOL,PLACE4PLAN S.L.,E-commerce & MarketplacesTraveltech & Leisure,0.1M €,Fundadors,June 2024,startup/barcelona/cocopool/6433,PLACE4PLAN S.L.,Platform for renting private pools by the hour.,"Urbanizacion Cabrils Ii (crta Cabrils A Vilassar), Tienda, 7- 8 08348 Cabrils","Traveltech & Leisure, 
		                		
		                			E-commerce & Marketplaces","AI & Big Data, 
		                		
		                			E-commerce",Sharing Economy,Pre-seed (< 0.25 M EUR),2022,Undisclosed,Marketplace,Consumer,None / Not a spinoff,0.1M € (JUNE 2024),Fundadors
GET-PIZZA,APPASSIONE S.L.,FoodLogistic Tech,0.0M €,Fundadors,June 2024,startup/barcelona/get-pizza/6718,APPASSIONE S.L.,"Online food ordering platform connecting artisanal pizzerias with global pizza lovers, promoting sustainable and community-based pizza culture.",Carrer De La Rosella 17 08035 Barcelona,"Food, 
		                		
		                			Logistic Tech","E-commerce, 
		                		
		                			Automation, 
		                		
		                			Smart City",Smart Cities,Pre-seed (< 0.25 M EUR),2023,From 1 to 5,Ecommerce & Trade,"Business, 
Consumer",None / Not a spinoff,0.0M € (JUNE 2024),Fundadors
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,(OCTOBER 2024),Tomas Meyer
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,(APRIL 2023),Cabiedes & Partners
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,0.3M € (DECEMBER 2020),"cabiedes & Partners, Startupexplore"
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,0.4M € (JULY 2018),n.a.
RIMBARLAT,RIMBARLAT S.L.,HealthtechSports,,Barça Innovation Hub,October 2024,startup/barcelona/rimbarlat/5928,RIMBARLAT S.L.,Regenerative medicine for sports muscle injuries,"Avinguda De La Riera De Cassoles, 43 4 08012 Barcelona","Sports, 
		                		
		                			Healthtech","Personalized medicine, 
		                		
		                			Additive manufacturing, 
		                		
		                			Biotechnology",-,Seed (0.25 M EUR - < 1 M EUR),2020,Undisclosed,Others,Business,Technological Centre (BIOCAT),(OCTOBER 2024),Barça Innovation Hub
RIMBARLAT,RIMBARLAT S.L.,HealthtechSports,,Barça Innovation Hub,October 2024,startup/barcelona/rimbarlat/5928,RIMBARLAT S.L.,Regenerative medicine for sports muscle injuries,"Avinguda De La Riera De Cassoles, 43 4 08012 Barcelona","Sports, 
		                		
		                			Healthtech","Personalized medicine, 
		                		
		                			Additive manufacturing, 
		                		
		                			Biotechnology",-,Seed (0.25 M EUR - < 1 M EUR),2020,Undisclosed,Others,Business,Technological Centre (BIOCAT),0.6M € (OCTOBER 2022),Capital Cell
EQUITO,EQUITO APP S.L,FinancingProptech,0.3M €,Lanzadera,June 2024,startup/barcelona/equito/5843,EQUITO APP S.L,A real estate investment platform enabling users to invest in fractional properties starting from €100. The platform facilitates seamless investment management and offers passive monthly income through property tokenization and fractional ownership.,Paseig De Gracia 19 08007 Barcelona,"Proptech, 
		                		
		                			Financing","Fintech & Insurtech, 
		                		
		                			DLT/Blockchain",Social Economy,Seed (0.25 M EUR - < 1 M EUR),2021,From 11 to 20,Marketplace,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Lanzadera
VORA,VORA,Fashion & Design,0.3M €,Casilda Güell i Javier Sobrino,June 2024,startup/barcelona/vora/6706,VORA,"Vora is inspired by the city of Barcelona, promoting serenity through unique sensory experiences.","Calle Cavallers, 54 P. 4 Pta. 1 08034 Barcelona",Fashion & Design,E-commerce,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2022,Undisclosed,-,Consumer,None / Not a spinoff,0.3M € (JUNE 2024),Casilda Güell i Javier Sobrino
LEXDOKA,SEEDFY ECOSYSTEM S.L.,Business Services & SoftwareLegaltech,0.3M €,Codols Finances,May 2024,startup/barcelona/lexdoka/6563,SEEDFY ECOSYSTEM S.L.,"LexDoka is a collaborative platform that turns the creation, review, negotiation, signing, and management of contracts into an easy, agile, and efficient task for any company or individual, with or without legal knowledge.","Calle Pallars, 108 08018 Barcelona","Business Services & Software, 
		                		
		                			Legaltech","Fintech & Insurtech, 
		                		
		                			Digital Assets",Industry 4.0,Seed (0.25 M EUR - < 1 M EUR),2021,Undisclosed,Saas,Business,None / Not a spinoff,0.3M € (MAY 2024),Codols Finances
KOKUAI,KOKUAI S.L.,HealthtechBusiness Services & Software,0.3M €,"Elisabeth Martinez, Oriol Vila, Blast",September 2024,startup/barcelona/kokuai/5838,KOKUAI S.L.,"Kokuai is a Barcelona based start-up founded in 2020  aiming to improve the efficiency of healthcare providers processes, enabling them to deliver a better service experience to their patients. By using our  AI conversational platform, healthcare facilities can connect and engage with patients on WhatsAp, optimizing their scheduling process for maximum conversion and reducing cancellations and no-shows.","Carrer Llacuna, 162 08018 Barcelona","Healthtech, 
		                		
		                			Business Services & Software","AI & Big Data, 
		                		
		                			Connectivity, 
		                		
		                			Automation",-,Seed (0.25 M EUR - < 1 M EUR),2020,From 1 to 5,Saas,Business,None / Not a spinoff,0.3M € (SEPTEMBER 2024),"Elisabeth Martinez, Oriol Vila, Blast"
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.1M € (NOVEMBER 2024),N/A
FLAMAID,FLAMAID S.L.,Hardware,0.3M €,ONA Capital,July 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.3M € (JULY 2024),ONA Capital
YOUZTALENT,YOUZTALENT,Community & Social network,0.2M €,Fundació Telefónica,June 2024,startup/barcelona/youztalent/6711,YOUZTALENT,We empower Generation Z and help companies create an inclusive organizational culture that attracts young talent.,"Calle Pallars, 73 08018 Barcelona",Community & Social network,Digital Assets,Social Economy,Pre-seed (< 0.25 M EUR),2019,Undisclosed,-,Business,None / Not a spinoff,0.2M € (JUNE 2024),Fundació Telefónica
DIPNEO,DIPNEO S.L,Healthtech,0.2M €,Capital Cell,August 2024,startup/barcelona/dipneo/7143,DIPNEO S.L,"Dipneo is developing a medical device for auxiliary resuscitation in patients with cardiorespiratory arrest, based on a patented technology from Eurecat.","Plaza Pau Vila (Ed. Palau De Mar), 1 P. 2, Sector 2 C 08039 Barcelona",Healthtech,Medical devices,-,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (AUGUST 2024),Capital Cell
TIRECATHEALTH,TIRECAT HEALTH SL,Healthtech,0.2M €,Grow Venture Partners,January 2025,startup/barcelona/tirecathealth/7127,TIRECAT HEALTH SL,"We develop and manufacture a novel family of polymers with great properties for different fields of medicine from tissue regeneration to oncology we are able to tackle a wide spread of medical needs.
PyroH our first clinical candidate is a polymer that adheres to wet tissues acting as an implant that speeds up regeneration times up to 41% and is able to completely guarantee infection prevention. This properties position it as a unique value proposition in the realm of skin regeneration.",Rbla Catalunya Num 78 Planta 3 Puerta 1B 08008 B 08008 Barcelona,Healthtech,"Medical devices, 
		                		
		                			Biotechnology, 
		                		
		                			NBS (Nature Based Solutions)",Deeptech,Seed (0.25 M EUR - < 1 M EUR),2024,From 1 to 5,Development & Manufacturing,Business,"CERCA Centre (CERCA Centre); 
CSIC Centre (CSIC Centre)",0.2M € (JANUARY 2025),Grow Venture Partners
CRIBDATA,"CRIBDATA, S.L.",Business Services & SoftwareFinancing,0.2M €,BcombinatorFI Group,October 2024,startup/barcelona/cribdata/7058,"CRIBDATA, S.L.","Cribdata is transforming personal data processing, offering enhanced security and efficiency for handling sensitive information.","Calle Via Augusta, 35 P. 6 08006 Barcelona","Business Services & Software, 
		                		
		                			Financing",AI & Big Data,Social Economy,Pre-seed (< 0.25 M EUR),2023,Undisclosed,-,Business,None / Not a spinoff,0.2M € (OCTOBER 2024),BcombinatorFI Group
BALANCE PHONE,THE BALANCE PHONE SL,Business Services & SoftwareICT & Mobile,0.1M €,"tres efes' (familiars, amics i entusiastes)",April 2024,startup/barcelona/balance-phone/6585,THE BALANCE PHONE SL,"We offer an addiction-free phone.  The Balance Phone offers the connectivity needed to live nowadays without any addictive and distracting apps and websites.  Our product gives access to tools and services such as Messaging, Music, Digital banking, Mobility and Health while blocking all Social media, Streaming services, Games, News, Betting apps and Pornography websites.",Via Augusta 195 Barcelona Catalonia 08021 Barcelona,"Business Services & Software, 
		                		
		                			ICT & Mobile","Connectivity, 
		                		
		                			E-commerce",Social Economy,Pre-seed (< 0.25 M EUR),2023,From 1 to 5,"Ecommerce & Trade, 
Subscription","Business, 
Consumer",None / Not a spinoff,0.1M € (APRIL 2024),"tres efes' (familiars, amics i entusiastes)"
TRITORDEUM,VIVAGRAN,AgricultureFood,0.1M €,Estats Units,May 2024,startup/barcelona/tritordeum/6625,VIVAGRAN,Vivagran is a consumer-driven cereal-based biotechnology company focused on developing and commercializing high-value branded cereals.  We do breeding produce seed/grains and grant licenses for the commercial exploitation of our proprietary crops.,C/ Calabria 35 Sobreático  2 08015 Barcelona,"Food, 
		                		
		                			Agriculture",Biotechnology,-,Pre-seed (< 0.25 M EUR),2021,From 1 to 5,R+D+I Services,Business,None / Not a spinoff,0.1M € (MAY 2024),Estats Units
FLAMAID,FLAMAID S.L.,Hardware,0.1M €,N/A,November 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.1M € (NOVEMBER 2024),N/A
FLAMAID,FLAMAID S.L.,Hardware,0.1M €,N/A,November 2024,startup/barcelona/flamaid/7137,FLAMAID S.L.,"Flamaid is a safety device equipped with an audible alarm and GPS technology, designed for emergency situations.","Calle Salvador Espriu, 47 P. 5 Pta. 1 08005 Barcelona",Hardware,IoT & Sensors,Social Economy,Seed (0.25 M EUR - < 1 M EUR),2023,Undisclosed,Development & Manufacturing,Consumer,None / Not a spinoff,0.3M € (JULY 2024),ONA Capital
TALKUAL,IMPERFECTUS BOX S.L,E-commerce & MarketplacesFood,0.1M €,Business Angels,June 2024,startup/lleida/talkual/5126,IMPERFECTUS BOX S.L,Talkual is a delivery service for imperfect seasonal fruit and vegetable boxes. The mission is building a better food system and fighting food waste. Talkual collects imperfect productspaying a fair price to the farmers and selling to costumers at affordable prices.,"Avinguda Lleida, 32  25250,0 Bellpuig","E-commerce & Marketplaces, 
		                		
		                			Food","E-commerce, 
		                		
		                			Agritech",Circular Economy,Pre-seed (< 0.25 M EUR),2019,From 21 to 50,"Ecommerce & Trade, 
Marketplace, 
Saas, 
Software licence, 
Subscription","Business, 
Consumer",Company /Other Centre,0.1M € (JUNE 2024),Business Angels
COCOPOOL,PLACE4PLAN S.L.,E-commerce & MarketplacesTraveltech & Leisure,0.1M €,Fundadors,June 2024,startup/barcelona/cocopool/6433,PLACE4PLAN S.L.,Platform for renting private pools by the hour.,"Urbanizacion Cabrils Ii (crta Cabrils A Vilassar), Tienda, 7- 8 08348 Cabrils","Traveltech & Leisure, 
		                		
		                			E-commerce & Marketplaces","AI & Big Data, 
		                		
		                			E-commerce",Sharing Economy,Pre-seed (< 0.25 M EUR),2022,Undisclosed,Marketplace,Consumer,None / Not a spinoff,0.1M € (JUNE 2024),Fundadors
GET-PIZZA,APPASSIONE S.L.,FoodLogistic Tech,0.0M €,Fundadors,June 2024,startup/barcelona/get-pizza/6718,APPASSIONE S.L.,"Online food ordering platform connecting artisanal pizzerias with global pizza lovers, promoting sustainable and community-based pizza culture.",Carrer De La Rosella 17 08035 Barcelona,"Food, 
		                		
		                			Logistic Tech","E-commerce, 
		                		
		                			Automation, 
		                		
		                			Smart City",Smart Cities,Pre-seed (< 0.25 M EUR),2023,From 1 to 5,Ecommerce & Trade,"Business, 
Consumer",None / Not a spinoff,0.0M € (JUNE 2024),Fundadors
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,(OCTOBER 2024),Tomas Meyer
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,(APRIL 2023),Cabiedes & Partners
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,0.3M € (DECEMBER 2020),"cabiedes & Partners, Startupexplore"
LAAGAM,CID BRAND SL,Fashion & Design,,Tomas Meyer,October 2024,startup/barcelona/laagam/5599,CID BRAND SL,We inspire girls to take the world by storm.the first stockless fashion brand in the world: exclusive fashion made in europe with minimal environmental impact and affordable prices,"Pasaje Marimon, 23 Loc 08021 Barcelona",Fashion & Design,E-commerce,-,Seed (0.25 M EUR - < 1 M EUR),2016,From 6 to 10,Saas,-,None / Not a spinoff,0.4M € (JULY 2018),n.a.
RIMBARLAT,RIMBARLAT S.L.,HealthtechSports,,Barça Innovation Hub,October 2024,startup/barcelona/rimbarlat/5928,RIMBARLAT S.L.,Regenerative medicine for sports muscle injuries,"Avinguda De La Riera De Cassoles, 43 4 08012 Barcelona","Sports, 
		                		
		                			Healthtech","Personalized medicine, 
		                		
		                			Additive manufacturing, 
		                		
		                			Biotechnology",-,Seed (0.25 M EUR - < 1 M EUR),2020,Undisclosed,Others,Business,Technological Centre (BIOCAT),(OCTOBER 2024),Barça Innovation Hub
RIMBARLAT,RIMBARLAT S.L.,HealthtechSports,,Barça Innovation Hub,October 2024,startup/barcelona/rimbarlat/5928,RIMBARLAT S.L.,Regenerative medicine for sports muscle injuries,"Avinguda De La Riera De Cassoles, 43 4 08012 Barcelona","Sports, 
		                		
		                			Healthtech","Personalized medicine, 
		                		
		                			Additive manufacturing, 
		                		
		                			Biotechnology",-,Seed (0.25 M EUR - < 1 M EUR),2020,Undisclosed,Others,Business,Technological Centre (BIOCAT),0.6M € (OCTOBER 2022),Capital Cell
